route_id,route_short_name,route_long_name,route_type,route_url
8378,1,Philadelphia Park To 54th & City Av,3,
8274,10,Overbrook to Center City      ,0,
8451,101,69th St to Drexel Hill,2,
8450,101B,Drexel Hill-Media Shuttle,3,http://www.septa.org/service/trolley/101-improvement.html
8454,102,69th St to Sharon Hill,2,
8404,103,69th St Term to Ardmore,3,
8405,104,69th St Term to W Chester Univ,3,
8406,105,69th St Term to Paoli       ,3,
8407,106,69th St Term to Ardmore,3,
8408,107,69th St Term to Lawrence Pk,3,
8409,108,69th St-Elmwood-Airport-UPS      ,3,
8275,108,69th St-Elmwood-Airport-UPS      ,3,
8410,109,69th St Term to Chester TC,3,
8276,11,Darby To Center City      ,0,
8411,110,69th St Term to Penn State,3,
8412,111,69th St Term to Chadds Ford     ,3,
8413,112,69th St Term to DCCC  ,3,
8414,113,69th St Term to Tri State Mall,3,
8415,114,Darby TC to Granite Run Mall,3,
8416,115,Airport to Ardmore,3,
8417,116,69th St Term to USPS,3,
8418,117,I-95 Ind Pk to Penn State,3,
8419,118,Chester TC to Newtown Square,3,
8420,119,Harrah's to Cheyney University,3,
8277,12,Kingsessing to Society Hill ,3,
8421,120,69th St Term to Cheyney University,3,
8422,123,69th St Term-King of Prussia       ,3,
8240,124,Philadelphia to Chesterbrook     ,3,
8423,125,Philadelphia to Valley Forge,3,
8241,127,Neshaminy Mall to Trenton TC,3,
8242,128,Oxford Valley Mall-Neshaminy Mall,3,
8243,129,Oxford Valley Mall to Morrell Park,3,
8278,13,Yeadon-Darby To Center  City       ,0,
8244,130,Franklin Mills Mall to BCCC,3,
8245,131,Norristown TC to Audubon,3,
8246,132,Montgomery Mall to Telford,3,
8247,134,Chestnut Hill to Montgomery Mall,3,
8248,139,King of Prussia-Phila Prem Outlets,3,
8478,14,Oxford Valley and Neshaminy to FTC,3,
8280,15,Port Richmond To Haddington,0,
8249,150,Plymouth Mtg Mall to Phila Park,3,
8281,17,South Phila to Penn's Landing ,3,
8282,18,Cedarbrook To Lawndale and Fox Chas,3,
8386,19,Krewstown & Trrsdale Station to FTC,3,
8285,2,Nicetown To S. Phila via 16th &17th,3,
8380,20,Franklin Mills Mall to FTC,3,
8250,201,Ft Wash Sta to Ft Wash Office Park ,3,
8264,204,Paoli Station to Eagleview,3,
8449,205,Paoli Sta to Main Line Indust Park,3,
8251,206,Paoli Station to Great Valley,3,
8288,21,69th St Terminal To Penn's Landing,3,
8290,22,Warminster & Willow Grove to OTC,3,
8291,23,Chestnut Hill to South Phila       ,3,
8382,24,Southampton to FTC via Fox Chase,3,
8293,25, Columbus Commons to FTC ,3,
8294,26,Germantown to Olney and FTC     ,3,
8295,27,Plymouth Meeting Mall to Ctr. City,3,
